order_id,customer,city,category,price,quantity,order_date
1001,Alex,Yaroslavl,Laptop,85000.0,1.0,2026-07-25
1002,Bob,Moscow,Phone,42000.0,2.0,2026-07-27
1003,Emma,Yaroslavl,Laptop,91000.0,1.0,2026-07-30
1004,David,Kazan,Tablet,35000.0,1.0,2026-08-01
1005,Alice,Moscow,Phone,39000.0,3.0,2026-08-03
1006,Max,,Headphones,7000.0,2.0,2026-08-05
1007,Olivia,SPB,Laptop,88000.0,1.0,2026-08-08
1008,John,Kazan,Phone,45000.0,1.0,2026-08-10
1009,Kate,SPB,Tablet,32000.0,2.0,2026-08-12
1010,Mike,Yaroslavl,Laptop,76000.0,1.0,2026-08-14
1011,Sophia,Moscow,Headphones,9000.0,3.0,2026-08-16
1012,Leo,SPB,Laptop,95000.0,1.0,2026-08-18
1013,Anna,Kazan,Phone,,2.0,2026-08-20
1014,Ivan,Yaroslavl,Tablet,30000.0,1.0,2026-08-22
1015,Nina,Moscow,Laptop,87000.0,1.0,2026-08-24
1016,Mark,SPB,Headphones,6500.0,4.0,2026-08-25
1017,Julia,Yaroslavl,Phone,43000.0,1.0,2026-08-27
1018,Tom,Kazan,Laptop,99000.0,1.0,2026-08-29
1019,Chris,SPB,Tablet,34000.0,,2026-08-31
1020,Eva,Moscow,Phone,40000.0,2.0,2026-09-03
